Permutation,Accuracy,Manual Accuracy,Inverse Manual Accuracy,Difference
"['activity', 'covered', 'location', 'volume_mode']",0.654916524887085,0.6549165,0.34508348,0.0
"['activity', 'covered', 'locked', 'volume_mode']",0.6379736661911011,0.63797367,0.36202636,0.0
"['activity', 'location', 'locked', 'volume_mode']",0.6447124481201172,0.64471245,0.35528758,0.0
"['battery_status', 'covered', 'location']",0.616737425327301,0.6167374,0.38326257,0.0
"['battery_status', 'covered', 'locked']",0.630232572555542,0.6302326,0.36976743,0.0
"['battery_status', 'covered', 'volume_mode']",0.635465145111084,0.63546515,0.36453488,0.0
"['battery_status', 'location', 'locked']",0.6203759908676147,0.620376,0.379624,0.0
"['battery_status', 'location', 'volume_mode']",0.6355366706848145,0.6355367,0.3644633,0.0
"['battery_status', 'locked', 'volume_mode']",0.630232572555542,0.6302326,0.36976743,0.0
"['battery_status', 'covered', 'location', 'locked']",0.6040024161338806,0.6040024,0.39599758,0.0
"['battery_status', 'covered', 'location', 'volume_mode']",0.6385688185691833,0.6385688,0.36143118,0.0
"['battery_status', 'covered', 'locked', 'volume_mode']",0.6226744055747986,0.6226744,0.3773256,0.0
"['battery_status', 'location', 'locked', 'volume_mode']",0.6270467042922974,0.6270467,0.3729533,0.0
"['covered', 'location', 'locked']",0.616121768951416,0.61612177,0.38387823,0.0
"['covered', 'location', 'volume_mode']",0.625140905380249,0.6251409,0.37485906,0.0
"['covered', 'locked', 'volume_mode']",0.618522584438324,0.6185226,0.3814774,0.0
"['location', 'locked', 'volume_mode']",0.6025930047035217,0.602593,0.397407,0.0
"['covered', 'location', 'locked', 'volume_mode']",0.5997745394706726,0.59977454,0.4002255,0.0
"['activity', 'battery_status', 'covered', 'location']",0.6321195363998413,0.63211954,0.3678805,0.0
"['activity', 'battery_status', 'covered', 'locked']",0.624483048915863,0.62448305,0.37551695,0.0
"['activity', 'battery_status', 'covered', 'volume_mode']",0.6426799297332764,0.6426799,0.3573201,0.0
"['activity', 'battery_status', 'location', 'locked']",0.6582633256912231,0.6582633,0.3417367,0.0
"['activity', 'battery_status', 'location', 'volume_mode']",0.6274510025978088,0.627451,0.37254903,0.0
"['activity', 'battery_status', 'locked', 'volume_mode']",0.6265508532524109,0.62655085,0.37344912,0.0
"['activity', 'battery_status', 'covered', 'location', 'locked']",0.6367880702018738,0.6367881,0.36321196,0.0
"['activity', 'battery_status', 'covered', 'location', 'volume_mode']",0.6227824687957764,0.62278247,0.37721756,0.0
"['activity', 'battery_status', 'covered', 'locked', 'volume_mode']",0.6410256624221802,0.64102566,0.35897437,0.0
"['activity', 'battery_status', 'location', 'locked', 'volume_mode']",0.6330532431602478,0.63305324,0.3669468,0.0
"['activity', 'covered', 'location', 'locked']",0.6447124481201172,0.64471245,0.35528758,0.0
"['activity', 'covered', 'location', 'volume_mode']",0.6502782702445984,0.6502783,0.3497217,0.0
"['activity', 'covered', 'locked', 'volume_mode']",0.6280889511108398,0.62808895,0.37191105,0.0
"['activity', 'location', 'locked', 'volume_mode']",0.6502782702445984,0.6502783,0.3497217,0.0
"['activity', 'covered', 'location', 'locked', 'volume_mode']",0.6354359984397888,0.635436,0.364564,0.0
"['battery_status', 'covered', 'location', 'locked']",0.6046088337898254,0.60460883,0.39539114,0.0
"['battery_status', 'covered', 'location', 'volume_mode']",0.6209824085235596,0.6209824,0.3790176,0.0
"['battery_status', 'covered', 'locked', 'volume_mode']",0.6345930099487305,0.634593,0.365407,0.0
