device_id,notification_id,activity,location,volume_mode,locked,interaction_time
adf5c3a65c8e4d0abc900fccf2b665fe,845b722e958046a5a927375ddad6dd4b,STILL,Home,0,False,0.75
adf5c3a65c8e4d0abc900fccf2b665fe,e8f54ffb5dd641ad9c838a96325e1caf,STILL,Home,0,False,0.875
adf5c3a65c8e4d0abc900fccf2b665fe,acb0ed4bc3dc4b40bd4069c8af6d4f65,STILL,Home,0,False,0.7083333333333334
adf5c3a65c8e4d0abc900fccf2b665fe,1113127ac8c74bc6867a4797f5c4b8ed,STILL,Home,0,True,0.6666666666666666
adf5c3a65c8e4d0abc900fccf2b665fe,ff322d9f94524057ad39aaefdc997879,STILL,Home,0,False,0.5416666666666666
adf5c3a65c8e4d0abc900fccf2b665fe,673ca7ef2fc249ba90a614383845dcbe,STILL,Home,0,False,0.5833333333333334
adf5c3a65c8e4d0abc900fccf2b665fe,490d25d88e6a412b9c0b5c5974342766,STILL,Home,0,False,0.8333333333333334
adf5c3a65c8e4d0abc900fccf2b665fe,cc67f016c690487db6d14878dbaf884c,STILL,Home,0,False,0.5833333333333334
adf5c3a65c8e4d0abc900fccf2b665fe,fa9cd3c350854c4fb731c344d00305f5,STILL,Home,0,False,0.8333333333333334
adf5c3a65c8e4d0abc900fccf2b665fe,ab61a5a3b3204f74890bfb10bd46400b,STILL,Home,0,False,0.75
adf5c3a65c8e4d0abc900fccf2b665fe,1ce338d11ace4bd5b7ef080d7a2fe4c1,STILL,Home,0,False,0.75
adf5c3a65c8e4d0abc900fccf2b665fe,78f53ce76c0b46f9ba2a0efbf0150c55,STILL,Home,0,True,0.7083333333333334
adf5c3a65c8e4d0abc900fccf2b665fe,aa57bc7f72cd49e0ab3e9d294efc1324,STILL,Home,0,True,0.9583333333333334
adf5c3a65c8e4d0abc900fccf2b665fe,6bfaa9e0d2eb4bd195b25b5e79e45d11,STILL,Home,0,True,0.0
adf5c3a65c8e4d0abc900fccf2b665fe,fe0881354bfc4055a962d0e562aa782d,STILL,Home,0,False,0.875
adf5c3a65c8e4d0abc900fccf2b665fe,60b83d3377874c8098dda63db1c1b89d,STILL,Home,0,False,0.6666666666666666
