Permutation,Accuracy,Manual Accuracy,Inverse Manual Accuracy,Difference
"['activity', 'battery_status', 'covered', 'location']",0.6694677871148459,0.6526611,0.34733894,0.01680670198606171
"['activity', 'battery_status', 'covered', 'locked']",0.6550868486352357,0.643507,0.35649297,0.01157984485105601
"['activity', 'battery_status', 'covered', 'volume_mode']",0.6476426799007444,0.63358146,0.36641854,0.014061220378497108
"['activity', 'battery_status', 'location', 'locked']",0.6694677871148459,0.66106445,0.33893558,0.008403341142403264
"['activity', 'battery_status', 'location', 'volume_mode']",0.6573295985060691,0.6414566,0.35854343,0.01587299450216284
"['activity', 'battery_status', 'locked', 'volume_mode']",0.6484698097601324,0.6401985,0.3598015,0.008271280993500274
"['activity', 'covered', 'location', 'interaction_time']",0.6410018552875696,0.6270872,0.3729128,0.013914679441469735
"['activity', 'covered', 'locked', 'interaction_time']",0.6400329489291599,0.6285008,0.37149918,0.011532129722922058
"['activity', 'covered', 'volume_mode', 'interaction_time']",0.6523887973640856,0.63714993,0.36285007,0.01523886736378044
"['activity', 'location', 'locked', 'interaction_time']",0.6660482374768089,0.6456401,0.35435992,0.020408162270052266
"['activity', 'location', 'volume_mode', 'interaction_time']",0.6808905380333952,0.63821894,0.3617811,0.04267159872904336
"['activity', 'locked', 'volume_mode', 'interaction_time']",0.6630971993410214,0.6515651,0.34843493,0.011532124420367107
"['activity', 'covered', 'location', 'locked']",0.660482374768089,0.64471245,0.35528758,0.015769926647971833
"['activity', 'covered', 'location', 'volume_mode']",0.6428571428571429,0.63914657,0.36085343,0.003710576466151694
"['activity', 'covered', 'locked', 'volume_mode']",0.6392092257001647,0.6359143,0.36408567,0.003294899986053368
"['activity', 'location', 'locked', 'volume_mode']",0.6512059369202227,0.6502783,0.3497217,0.0009276666756242724
"['battery_status', 'covered', 'location', 'interaction_time']",0.6428138265615525,0.6379624,0.3620376,0.004851425648313978
"['battery_status', 'covered', 'locked', 'interaction_time']",0.6325581395348837,0.63284886,0.36715117,-0.00029071929842927613
"['battery_status', 'covered', 'volume_mode', 'interaction_time']",0.6348837209302326,0.6241279,0.3758721,0.010755796487941338
"['battery_status', 'location', 'locked', 'interaction_time']",0.6343238326258338,0.633111,0.36688903,0.0012128325647986493
"['battery_status', 'location', 'volume_mode', 'interaction_time']",0.6149181322013342,0.60703456,0.39296544,0.007883568183084666
