device_id	notification_id	prox
adf5c3a65c8e4d0abc900fccf2b665fe	a307cd77397b420c96163e12e1a26076	1
6dbcd91158e248bea04dd5dd7c81e76e	4f86de98374c4519aa52b2000bf47d55	1
3ac8550c4587483290c57e5e98d6ee05	d33811ecf2b2401793aed312ff88cf40	1
3ac8550c4587483290c57e5e98d6ee05	d44486ab5e0f4d63bd815690b7d059eb	1
3ac8550c4587483290c57e5e98d6ee05	43f8973828114776aa934830a76135ab	1
adf653615f6644e5a2feeabf5f7ac675	13a3001953794780907c4a5d778a197f	1
adf653615f6644e5a2feeabf5f7ac675	ab13a16a194342a3a639890763835fec	1
6dbcd91158e248bea04dd5dd7c81e76e	8e6cc89704fd405ba3644b96a1ebbdd2	1
ef24e3578f264168ae5adfb7e75e4cea	78f2ec7cf16148cd85cb3472c06407af	1
6fcc5b3f284642e7b91d8c16df97167a	7cf5656b055046f59b661fac3e633cfe	0
3ac8550c4587483290c57e5e98d6ee05	70609d22cc6f41d39893d19691a8c0eb	1
3ac8550c4587483290c57e5e98d6ee05	afceb5f97db34caebd2ccba536dddaec	0
db9a6313e6e84616b9be27054a2094b2	f9c1890ede26404e8843678cb18fcd8e	1
6dbcd91158e248bea04dd5dd7c81e76e	e3f7d419e84f4d14b984ad7c3ac143e5	1
43fd6ac3ba544d0aa99bb50a266d1f76	9193000b370546adaef56528df20eccf	1
43fd6ac3ba544d0aa99bb50a266d1f76	92f37fa08f6e4a8cb185f4e76102f314	0
43fd6ac3ba544d0aa99bb50a266d1f76	bd05be214b4c40c2ba8cdd26bc2ceb4a	0
94f50e4b32c14cc287c6165e4681cd6b	ffec0617b9514d4c81b2c086f0837781	1
43fd6ac3ba544d0aa99bb50a266d1f76	678fb1808c5b4e9d8412e854dc86198a	1
6dbcd91158e248bea04dd5dd7c81e76e	92468bb052814a1193da921d34b2c5c4	0
db9a6313e6e84616b9be27054a2094b2	f22eacbeeafa4509bb36bbf19b47c3c6	1
6dbd5e5e6c6040938ed458705ece452e	b78ca1b897664f549519eb47dacc03e3	1
e50958b880754ea19659c6aa7f1e9dd7	d32651b5a0ac477baf987e31d6bf3fb7	0
6dbcd91158e248bea04dd5dd7c81e76e	f072162c9ae74842b7291ece4864f12d	0
db9a6313e6e84616b9be27054a2094b2	7ff9177b500d4caf902fa122e113e594	1
6dbcd91158e248bea04dd5dd7c81e76e	e698174d924846c997d9ac91aae253eb	1
f388a39a209144198f1312861dab3105	348db35bd9da4dc2b7b590fab2c57f53	1
d143f2f107854051bfc9e2cbe8c913b5	3f1cfb88c7bf4737a56d0daf469aaaa2	1
3ac8550c4587483290c57e5e98d6ee05	f630c9ae5c3e42cf94cfd6c97d0cdf47	1
3ac8550c4587483290c57e5e98d6ee05	39d1de2eef9f4faeb2d5a17d8ec7da5d	1
f388a39a209144198f1312861dab3105	98cf98c531f64b93bfe3f4c91595a572	1
f388a39a209144198f1312861dab3105	a43d3482939b4dfcb5f018fbca8ca496	1
6dbcd91158e248bea04dd5dd7c81e76e	cf4a627462784421bc0053df4e75fe87	1
6dbcd91158e248bea04dd5dd7c81e76e	d12ebba3540543ea82a2406fab41a3e0	1
d143f2f107854051bfc9e2cbe8c913b5	4e3cb78c5014492d93fc15088b854b32	1
3ac8550c4587483290c57e5e98d6ee05	7e7ef8fe119d4f878e38993f619eae00	1
d143f2f107854051bfc9e2cbe8c913b5	96aef8a797744281849508f018754323	1
db9a6313e6e84616b9be27054a2094b2	cc203a8abbde4a2687df44fe9a3959a9	1
adf5c3a65c8e4d0abc900fccf2b665fe	845b722e958046a5a927375ddad6dd4b	1
adf653615f6644e5a2feeabf5f7ac675	1a806ced43d7452c87d531ed863147cb	1
db9a6313e6e84616b9be27054a2094b2	986488ce318944b686b9f3a24045237a	1
43fd6ac3ba544d0aa99bb50a266d1f76	51a1cc4ae0f94c8385f621a304a26c80	1
adf653615f6644e5a2feeabf5f7ac675	6fbd436a0add4ee2941c399cb6d37eca	1
adf653615f6644e5a2feeabf5f7ac675	695de8d3f90246faaa0bf564132d84ea	1
db9a6313e6e84616b9be27054a2094b2	a1a2a0cc6fe24fa28f73aafd8a065dd9	1
d143f2f107854051bfc9e2cbe8c913b5	d116d8daae874789a834805e191ac604	1
f388a39a209144198f1312861dab3105	a961394ea5534714bcdfe5c9530fb9ed	0
29727154906d4b7bbda2f43a866876b6	8d149ec32445410abf125b219aea9152	0
adf653615f6644e5a2feeabf5f7ac675	35933c10923842ff92e6016fb0cd9e98	1
3ac8550c4587483290c57e5e98d6ee05	6b635ba093ef4e60937878684ad674a1	0
f388a39a209144198f1312861dab3105	98daeb9528444d749086cfcd6cfeb4ee	0
adf653615f6644e5a2feeabf5f7ac675	f4e3d95a868d402e919c6c67bab5e3c4	1
db9a6313e6e84616b9be27054a2094b2	29b41068d41a4ec4b36969acfff0d7f2	1
3ac8550c4587483290c57e5e98d6ee05	7af67ddc8ca44f448d3a23f3c3dfde0c	1
3ac8550c4587483290c57e5e98d6ee05	5be4d6c5d0c8452abae09f32b34587a3	1
adf653615f6644e5a2feeabf5f7ac675	7ee0259feecb4ab0895d30ee9567dccc	1
ef24e3578f264168ae5adfb7e75e4cea	c2c7922d048444278f98ddb32fbbe68e	0
6fcc5b3f284642e7b91d8c16df97167a	82f092a8c611493a9023b05bc50e57d6	0
db9a6313e6e84616b9be27054a2094b2	d52d4d3b6e5c444fa326a86c8cb5a064	1
3ac8550c4587483290c57e5e98d6ee05	8063edd4dc7846a4886f1373e95200d8	1
db9a6313e6e84616b9be27054a2094b2	902c79a7ee704829b0b5311cd90ab1ee	1
6fcc5b3f284642e7b91d8c16df97167a	b03ef28e6d8b4ca4a452e2fb16124c87	0
d143f2f107854051bfc9e2cbe8c913b5	36bdb49a5d9240d2acd32d7646ef7d10	1
db9a6313e6e84616b9be27054a2094b2	dad0cbb7808443e888af935a89cc181c	1
d143f2f107854051bfc9e2cbe8c913b5	53b80a79efdd4ffb84ec506fc6cda68b	1
d143f2f107854051bfc9e2cbe8c913b5	d0399e8152944b0f9d8306a3381303c7	1
e50958b880754ea19659c6aa7f1e9dd7	925a420d46884ab39a6a6ef2c65356cc	0
adf653615f6644e5a2feeabf5f7ac675	9e9ecfa938904a4e989d1596175db97f	1
3ac8550c4587483290c57e5e98d6ee05	5775461ad079460bae79182ada911f26	1
db9a6313e6e84616b9be27054a2094b2	3c006c93938e46078cc628f5df6f057e	1
3ac8550c4587483290c57e5e98d6ee05	df7a50c60a7f458f892033764666887e	1
6dbcd91158e248bea04dd5dd7c81e76e	163765174e914c0996c77a79d8830069	0
db9a6313e6e84616b9be27054a2094b2	1e29ddeec61f4452a8327fd890fb1944	1
d143f2f107854051bfc9e2cbe8c913b5	b3e859900020426aa4cc08c3bf1d9787	1
adf653615f6644e5a2feeabf5f7ac675	33e23f6824644e8c8b9e100af66010f8	1
f388a39a209144198f1312861dab3105	7a83debc2f8b4848971e19464a367082	1
adf653615f6644e5a2feeabf5f7ac675	143dbbc5fb914c0fb89da899ac0e8f1d	1
3ac8550c4587483290c57e5e98d6ee05	d92c16c42d5f4d668e44dd5a62172028	1
d143f2f107854051bfc9e2cbe8c913b5	496d2ab4772a46538be0220cba2284ac	1
6dbd5e5e6c6040938ed458705ece452e	92731f0c0dbe4908b407a5d067cd696c	1
3ea1a425177d4163a5a9f04c690d2965	0cf567780c614f3590a4e3aca3403a74	1
db9a6313e6e84616b9be27054a2094b2	16ced9ab4476400aa14633fb34883b6e	1
6dbcd91158e248bea04dd5dd7c81e76e	43b3c14b64394e849d9ac97fee1c2be2	1
db9a6313e6e84616b9be27054a2094b2	7cf738fa2a9a47e3bab5dfbf7751010d	1
43fd6ac3ba544d0aa99bb50a266d1f76	e41c1ed0f0e94780badd647a708b6c46	0
3ac8550c4587483290c57e5e98d6ee05	5f20859b50b44ef19a7edf799fe2fe21	1
db9a6313e6e84616b9be27054a2094b2	6ede75514e9b4578a28ea8e353c7e35e	1
6fcc5b3f284642e7b91d8c16df97167a	76dc7d31c39745349ad86247780df70e	0
