device_id	notification_id	name
3ac8550c4587483290c57e5e98d6ee05	cdc5b1a1d3e141da913ce3478dd9d2a6	KLJCFNJS
3ac8550c4587483290c57e5e98d6ee05	cdc5b1a1d3e141da913ce3478dd9d2a6	PNOMEUFB
adf5c3a65c8e4d0abc900fccf2b665fe	a307cd77397b420c96163e12e1a26076	ZBYVAYSU
adf5c3a65c8e4d0abc900fccf2b665fe	a307cd77397b420c96163e12e1a26076	JIXETBCI
f388a39a209144198f1312861dab3105	0c9be8c74f6b4e79b86418cc40e4a54a	LOCTBZQV
3ac8550c4587483290c57e5e98d6ee05	cf2aee3b2ec64be0b7ea7f5c7dbc2f75	SNRKAJGM
3ac8550c4587483290c57e5e98d6ee05	cf2aee3b2ec64be0b7ea7f5c7dbc2f75	ZBYVAYSU
3ac8550c4587483290c57e5e98d6ee05	d33811ecf2b2401793aed312ff88cf40	RRYCGPTJ
3ac8550c4587483290c57e5e98d6ee05	d33811ecf2b2401793aed312ff88cf40	SNRKAJGM
3ac8550c4587483290c57e5e98d6ee05	d33811ecf2b2401793aed312ff88cf40	STJWLLLJ
3ac8550c4587483290c57e5e98d6ee05	d33811ecf2b2401793aed312ff88cf40	ZBYVAYSU
3ac8550c4587483290c57e5e98d6ee05	d33811ecf2b2401793aed312ff88cf40	ZKUPQNVM
adf653615f6644e5a2feeabf5f7ac675	13a3001953794780907c4a5d778a197f	CCHYFHPF
adf653615f6644e5a2feeabf5f7ac675	13a3001953794780907c4a5d778a197f	SKOOJFOA
adf653615f6644e5a2feeabf5f7ac675	ab13a16a194342a3a639890763835fec	TGOCTQCB
adf653615f6644e5a2feeabf5f7ac675	ab13a16a194342a3a639890763835fec	ZORIKJKR
f388a39a209144198f1312861dab3105	c0d00a3253094272981d8a11aa4aff54	HBDVXVVU
adf653615f6644e5a2feeabf5f7ac675	cf51e8235f584b82b6a1e22ad0d83754	XFZWLKXT
adf653615f6644e5a2feeabf5f7ac675	cf51e8235f584b82b6a1e22ad0d83754	RRYCGPTJ
adf653615f6644e5a2feeabf5f7ac675	186becc720f7470bb84eafa4759fedba	QUDIHXTZ
adf653615f6644e5a2feeabf5f7ac675	186becc720f7470bb84eafa4759fedba	ADUXKFGP
adf653615f6644e5a2feeabf5f7ac675	186becc720f7470bb84eafa4759fedba	KVWKPIUF
adf653615f6644e5a2feeabf5f7ac675	186becc720f7470bb84eafa4759fedba	MOATPEDE
adf653615f6644e5a2feeabf5f7ac675	186becc720f7470bb84eafa4759fedba	ACPOCMLL
3ac8550c4587483290c57e5e98d6ee05	06da9a577da84b629e64832ddcd062f0	RRYCGPTJ
3ac8550c4587483290c57e5e98d6ee05	70609d22cc6f41d39893d19691a8c0eb	SNRKAJGM
3ac8550c4587483290c57e5e98d6ee05	70609d22cc6f41d39893d19691a8c0eb	ZBYVAYSU
3ac8550c4587483290c57e5e98d6ee05	afceb5f97db34caebd2ccba536dddaec	MKYHVVCD
43fd6ac3ba544d0aa99bb50a266d1f76	b07c749863134934b427bdd2cb43c908	IYOFHEOG
db9a6313e6e84616b9be27054a2094b2	28c88f28193c4c659d513c84d0a75406	VNXDYRLW
db9a6313e6e84616b9be27054a2094b2	28c88f28193c4c659d513c84d0a75406	SDZBEUDP
db9a6313e6e84616b9be27054a2094b2	28c88f28193c4c659d513c84d0a75406	ABVSEMPY
db9a6313e6e84616b9be27054a2094b2	28c88f28193c4c659d513c84d0a75406	YQIIIINI
43fd6ac3ba544d0aa99bb50a266d1f76	92f37fa08f6e4a8cb185f4e76102f314	AQNGWBJQ
43fd6ac3ba544d0aa99bb50a266d1f76	92f37fa08f6e4a8cb185f4e76102f314	LRZCIKRG
43fd6ac3ba544d0aa99bb50a266d1f76	92f37fa08f6e4a8cb185f4e76102f314	ASFPVUGJ
adf653615f6644e5a2feeabf5f7ac675	db7c62456f8b4d4ab264af3d975e0726	ZORIKJKR
adf653615f6644e5a2feeabf5f7ac675	db7c62456f8b4d4ab264af3d975e0726	QVEGGHMW
adf653615f6644e5a2feeabf5f7ac675	db7c62456f8b4d4ab264af3d975e0726	TDFAKAEQ
adf653615f6644e5a2feeabf5f7ac675	db7c62456f8b4d4ab264af3d975e0726	OUGPHRZT
3ac8550c4587483290c57e5e98d6ee05	a80bf4553d694760becf73a9024cc4c1	SNRKAJGM
43fd6ac3ba544d0aa99bb50a266d1f76	bd05be214b4c40c2ba8cdd26bc2ceb4a	ZBYVAYSU
6dbcd91158e248bea04dd5dd7c81e76e	92468bb052814a1193da921d34b2c5c4	ZBYVAYSU
db9a6313e6e84616b9be27054a2094b2	f22eacbeeafa4509bb36bbf19b47c3c6	VUBQQQNM
6dbcd91158e248bea04dd5dd7c81e76e	f072162c9ae74842b7291ece4864f12d	OZCEDPWQ
3ac8550c4587483290c57e5e98d6ee05	d9789f51e0e84f20a1693ed2e2b39f0e	VDEAVVXD
3ac8550c4587483290c57e5e98d6ee05	d9789f51e0e84f20a1693ed2e2b39f0e	MKYHVVCD
3ac8550c4587483290c57e5e98d6ee05	d9789f51e0e84f20a1693ed2e2b39f0e	SMACVCLF
adf5c3a65c8e4d0abc900fccf2b665fe	34dcb73aba364e6ab97d18b993a6048f	ZBYVAYSU
adf5c3a65c8e4d0abc900fccf2b665fe	34dcb73aba364e6ab97d18b993a6048f	JIXETBCI
db9a6313e6e84616b9be27054a2094b2	384ecd38bab7499b84b3532e20938894	ANQWJBMW
db9a6313e6e84616b9be27054a2094b2	384ecd38bab7499b84b3532e20938894	WOERNRQL
db9a6313e6e84616b9be27054a2094b2	384ecd38bab7499b84b3532e20938894	VRIGNDSU
db9a6313e6e84616b9be27054a2094b2	384ecd38bab7499b84b3532e20938894	NYLXTSBS
db9a6313e6e84616b9be27054a2094b2	384ecd38bab7499b84b3532e20938894	YVNLLBOQ
db9a6313e6e84616b9be27054a2094b2	384ecd38bab7499b84b3532e20938894	RGXCMRVG
db9a6313e6e84616b9be27054a2094b2	384ecd38bab7499b84b3532e20938894	MKYHVVCD
db9a6313e6e84616b9be27054a2094b2	384ecd38bab7499b84b3532e20938894	DDVKCOFT
3ac8550c4587483290c57e5e98d6ee05	39d1de2eef9f4faeb2d5a17d8ec7da5d	SNRKAJGM
3ac8550c4587483290c57e5e98d6ee05	39d1de2eef9f4faeb2d5a17d8ec7da5d	ZBYVAYSU
3ac8550c4587483290c57e5e98d6ee05	39d1de2eef9f4faeb2d5a17d8ec7da5d	STJWLLLJ
43fd6ac3ba544d0aa99bb50a266d1f76	5a20189435884901b381ea0788443f71	KXTVXRUZ
adf653615f6644e5a2feeabf5f7ac675	0a7b1e1149d44e1cb0f2571a1b40b5fe	KVWKPIUF
adf653615f6644e5a2feeabf5f7ac675	0a7b1e1149d44e1cb0f2571a1b40b5fe	SUMDACVA
adf653615f6644e5a2feeabf5f7ac675	0a7b1e1149d44e1cb0f2571a1b40b5fe	DGMNOYHB
e50958b880754ea19659c6aa7f1e9dd7	b8633525df9f43908ca63fb0ddfefddb	RRYCGPTJ
db9a6313e6e84616b9be27054a2094b2	7d9486db48814d31b09ed22acd3451d9	VRIGNDSU
3ac8550c4587483290c57e5e98d6ee05	7e7ef8fe119d4f878e38993f619eae00	SACFZELC
3ac8550c4587483290c57e5e98d6ee05	7e7ef8fe119d4f878e38993f619eae00	ZBYVAYSU
3ac8550c4587483290c57e5e98d6ee05	7e7ef8fe119d4f878e38993f619eae00	SNRKAJGM
3ac8550c4587483290c57e5e98d6ee05	48846520034c4316b513fdb223e4fad8	ZBYVAYSU
3ac8550c4587483290c57e5e98d6ee05	48846520034c4316b513fdb223e4fad8	SACFZELC
3ac8550c4587483290c57e5e98d6ee05	48846520034c4316b513fdb223e4fad8	SNRKAJGM
adf5c3a65c8e4d0abc900fccf2b665fe	845b722e958046a5a927375ddad6dd4b	JIXETBCI
adf653615f6644e5a2feeabf5f7ac675	e43693d2b27347818eab83c7679cc919	TDFAKAEQ
adf653615f6644e5a2feeabf5f7ac675	e43693d2b27347818eab83c7679cc919	ZORIKJKR
adf653615f6644e5a2feeabf5f7ac675	e43693d2b27347818eab83c7679cc919	QVEGGHMW
adf653615f6644e5a2feeabf5f7ac675	5e1965e06f394b8ea1567da6d6d15ef6	SKOOJFOA
adf653615f6644e5a2feeabf5f7ac675	5e1965e06f394b8ea1567da6d6d15ef6	CEAVMEVC
adf653615f6644e5a2feeabf5f7ac675	5e1965e06f394b8ea1567da6d6d15ef6	NSTVKDES
adf653615f6644e5a2feeabf5f7ac675	1a806ced43d7452c87d531ed863147cb	ZORIKJKR
43fd6ac3ba544d0aa99bb50a266d1f76	51a1cc4ae0f94c8385f621a304a26c80	CVLHRACG
adf653615f6644e5a2feeabf5f7ac675	6fbd436a0add4ee2941c399cb6d37eca	XEPBHJQC
adf653615f6644e5a2feeabf5f7ac675	695de8d3f90246faaa0bf564132d84ea	ZORIKJKR
adf653615f6644e5a2feeabf5f7ac675	695de8d3f90246faaa0bf564132d84ea	TDFAKAEQ
adf5c3a65c8e4d0abc900fccf2b665fe	d0449883b8ed45899976afc872e13746	ZBYVAYSU
adf5c3a65c8e4d0abc900fccf2b665fe	d0449883b8ed45899976afc872e13746	JIXETBCI
adf653615f6644e5a2feeabf5f7ac675	35933c10923842ff92e6016fb0cd9e98	ACPOCMLL
adf653615f6644e5a2feeabf5f7ac675	35933c10923842ff92e6016fb0cd9e98	KVWKPIUF
adf653615f6644e5a2feeabf5f7ac675	35933c10923842ff92e6016fb0cd9e98	CTJSJGFE
3ac8550c4587483290c57e5e98d6ee05	6b635ba093ef4e60937878684ad674a1	CZPNUSIT
3ac8550c4587483290c57e5e98d6ee05	6b635ba093ef4e60937878684ad674a1	KZLLUAEC
3ac8550c4587483290c57e5e98d6ee05	d778b0f62d154e549c1af43c4b98cf1e	KLJCFNJS
adf653615f6644e5a2feeabf5f7ac675	f4e3d95a868d402e919c6c67bab5e3c4	ZORIKJKR
adf653615f6644e5a2feeabf5f7ac675	7ee0259feecb4ab0895d30ee9567dccc	KVWKPIUF
adf653615f6644e5a2feeabf5f7ac675	7ee0259feecb4ab0895d30ee9567dccc	ACPOCMLL
adf653615f6644e5a2feeabf5f7ac675	7e8b400ff1674464b2bb3bb06e7cf589	ZORIKJKR
adf653615f6644e5a2feeabf5f7ac675	7e8b400ff1674464b2bb3bb06e7cf589	TGOCTQCB
adf653615f6644e5a2feeabf5f7ac675	04284a313d4f4ba6862543a3db3797eb	KVWKPIUF
adf653615f6644e5a2feeabf5f7ac675	04284a313d4f4ba6862543a3db3797eb	ADUXKFGP
6dbcd91158e248bea04dd5dd7c81e76e	18eb2294e31f43b8939b360b71d6b9aa	FGLRTTQE
6dbcd91158e248bea04dd5dd7c81e76e	18eb2294e31f43b8939b360b71d6b9aa	XJYLTMHD
6dbcd91158e248bea04dd5dd7c81e76e	18eb2294e31f43b8939b360b71d6b9aa	IHLJUBVM
6dbcd91158e248bea04dd5dd7c81e76e	18eb2294e31f43b8939b360b71d6b9aa	MSJZOXPU
6dbcd91158e248bea04dd5dd7c81e76e	18eb2294e31f43b8939b360b71d6b9aa	TQXIOVII
6dbcd91158e248bea04dd5dd7c81e76e	18eb2294e31f43b8939b360b71d6b9aa	YQIIIINI
adf5c3a65c8e4d0abc900fccf2b665fe	605680fd2de444d7a671e3a2b4a76801	AGOWKVXU
6dbcd91158e248bea04dd5dd7c81e76e	f1f6e37476b844a9a17f4424c0ff03de	DCXZKHBF
d143f2f107854051bfc9e2cbe8c913b5	d448c189a3394a67a6fe6ad6cef8ac59	KJXBDLDW
d143f2f107854051bfc9e2cbe8c913b5	d448c189a3394a67a6fe6ad6cef8ac59	PTUIYPKC
db9a6313e6e84616b9be27054a2094b2	ee524215d7af4392b7b76b3c97d5b180	JPJZUWUX
d143f2f107854051bfc9e2cbe8c913b5	be2fa751e2444c2d89d8caf95af9dd05	YQIIIINI
d143f2f107854051bfc9e2cbe8c913b5	36bdb49a5d9240d2acd32d7646ef7d10	KJXBDLDW
d143f2f107854051bfc9e2cbe8c913b5	36bdb49a5d9240d2acd32d7646ef7d10	PTUIYPKC
db9a6313e6e84616b9be27054a2094b2	dad0cbb7808443e888af935a89cc181c	RGXCMRVG
db9a6313e6e84616b9be27054a2094b2	dad0cbb7808443e888af935a89cc181c	MKYHVVCD
db9a6313e6e84616b9be27054a2094b2	dad0cbb7808443e888af935a89cc181c	ANQWJBMW
db9a6313e6e84616b9be27054a2094b2	dad0cbb7808443e888af935a89cc181c	MWCPJQFL
