device_id	notification_id	location
3ac8550c4587483290c57e5e98d6ee05	cdc5b1a1d3e141da913ce3478dd9d2a6	Home
adf5c3a65c8e4d0abc900fccf2b665fe	a307cd77397b420c96163e12e1a26076	Home
6dbcd91158e248bea04dd5dd7c81e76e	4f86de98374c4519aa52b2000bf47d55	Home
adf653615f6644e5a2feeabf5f7ac675	13a3001953794780907c4a5d778a197f	Other
adf653615f6644e5a2feeabf5f7ac675	cf51e8235f584b82b6a1e22ad0d83754	Other
ef24e3578f264168ae5adfb7e75e4cea	78f2ec7cf16148cd85cb3472c06407af	Home
adf653615f6644e5a2feeabf5f7ac675	186becc720f7470bb84eafa4759fedba	Work
6fcc5b3f284642e7b91d8c16df97167a	7cf5656b055046f59b661fac3e633cfe	Home
3ac8550c4587483290c57e5e98d6ee05	70609d22cc6f41d39893d19691a8c0eb	Home
db9a6313e6e84616b9be27054a2094b2	28c88f28193c4c659d513c84d0a75406	Other
f388a39a209144198f1312861dab3105	5f3ba8dbc2454954ab72a1dac100f25b	Home
94f50e4b32c14cc287c6165e4681cd6b	ffec0617b9514d4c81b2c086f0837781	Home
f388a39a209144198f1312861dab3105	01c01315f0e541089689916a9f41496d	Work
6dbcd91158e248bea04dd5dd7c81e76e	92468bb052814a1193da921d34b2c5c4	Other
db9a6313e6e84616b9be27054a2094b2	f22eacbeeafa4509bb36bbf19b47c3c6	Home
6dbd5e5e6c6040938ed458705ece452e	b78ca1b897664f549519eb47dacc03e3	Home
6fcc5b3f284642e7b91d8c16df97167a	03c40bb5ec19454d8befd275835fa651	Other
3ac8550c4587483290c57e5e98d6ee05	254be27a6ce545d09a60a768e299a65d	Other
db9a6313e6e84616b9be27054a2094b2	7ff9177b500d4caf902fa122e113e594	Home
6dbcd91158e248bea04dd5dd7c81e76e	e698174d924846c997d9ac91aae253eb	Other
f388a39a209144198f1312861dab3105	348db35bd9da4dc2b7b590fab2c57f53	Home
6dbcd91158e248bea04dd5dd7c81e76e	312782cf39704223815ce676b37352f3	Home
adf5c3a65c8e4d0abc900fccf2b665fe	34dcb73aba364e6ab97d18b993a6048f	Home
d143f2f107854051bfc9e2cbe8c913b5	3f1cfb88c7bf4737a56d0daf469aaaa2	Home
3ac8550c4587483290c57e5e98d6ee05	f630c9ae5c3e42cf94cfd6c97d0cdf47	Home
43fd6ac3ba544d0aa99bb50a266d1f76	5a20189435884901b381ea0788443f71	Home
f388a39a209144198f1312861dab3105	5ce58aee66c5415c96460946617878c9	Home
