device_id	notification_id	activity
3ac8550c4587483290c57e5e98d6ee05	d33811ecf2b2401793aed312ff88cf40	STILL
3ac8550c4587483290c57e5e98d6ee05	43f8973828114776aa934830a76135ab	STILL
adf653615f6644e5a2feeabf5f7ac675	ab13a16a194342a3a639890763835fec	STILL
6dbcd91158e248bea04dd5dd7c81e76e	8e6cc89704fd405ba3644b96a1ebbdd2	STILL
3ac8550c4587483290c57e5e98d6ee05	70609d22cc6f41d39893d19691a8c0eb	STILL
3ac8550c4587483290c57e5e98d6ee05	afceb5f97db34caebd2ccba536dddaec	STILL
db9a6313e6e84616b9be27054a2094b2	f9c1890ede26404e8843678cb18fcd8e	STILL
6dbcd91158e248bea04dd5dd7c81e76e	e3f7d419e84f4d14b984ad7c3ac143e5	STILL
43fd6ac3ba544d0aa99bb50a266d1f76	9193000b370546adaef56528df20eccf	STILL
43fd6ac3ba544d0aa99bb50a266d1f76	92f37fa08f6e4a8cb185f4e76102f314	STILL
43fd6ac3ba544d0aa99bb50a266d1f76	bd05be214b4c40c2ba8cdd26bc2ceb4a	STILL
43fd6ac3ba544d0aa99bb50a266d1f76	678fb1808c5b4e9d8412e854dc86198a	STILL
6dbcd91158e248bea04dd5dd7c81e76e	92468bb052814a1193da921d34b2c5c4	ON_FOOT
6dbd5e5e6c6040938ed458705ece452e	b78ca1b897664f549519eb47dacc03e3	STILL
e50958b880754ea19659c6aa7f1e9dd7	d32651b5a0ac477baf987e31d6bf3fb7	STILL
6dbcd91158e248bea04dd5dd7c81e76e	f072162c9ae74842b7291ece4864f12d	UNKNOWN
db9a6313e6e84616b9be27054a2094b2	7ff9177b500d4caf902fa122e113e594	STILL
6dbcd91158e248bea04dd5dd7c81e76e	e698174d924846c997d9ac91aae253eb	STILL
f388a39a209144198f1312861dab3105	348db35bd9da4dc2b7b590fab2c57f53	STILL
d143f2f107854051bfc9e2cbe8c913b5	3f1cfb88c7bf4737a56d0daf469aaaa2	STILL
f388a39a209144198f1312861dab3105	98cf98c531f64b93bfe3f4c91595a572	STILL
f388a39a209144198f1312861dab3105	a43d3482939b4dfcb5f018fbca8ca496	STILL
6dbcd91158e248bea04dd5dd7c81e76e	cf4a627462784421bc0053df4e75fe87	ON_FOOT
6dbcd91158e248bea04dd5dd7c81e76e	d12ebba3540543ea82a2406fab41a3e0	STILL
3ac8550c4587483290c57e5e98d6ee05	7e7ef8fe119d4f878e38993f619eae00	UNKNOWN
