Round,Loss,Accuracy
0,0.6926866173744202,0.5334433267513911
1,0.6593192716439565,0.6407390733559927
2,0.6377632717291514,0.6666340927282969
3,0.6309486528237661,0.6677393615245819
4,0.6303359071413676,0.6733717521031698
5,0.6330259044965109,0.6695492267608643
6,0.6470091839631399,0.6692182719707489
7,0.655864010254542,0.6724105179309845
8,0.6617049078146616,0.6748878161112467
9,0.6644415756066641,0.672522763411204
10,0.6742979188760122,0.6719798743724823

Total,0, 53875
